t_ms,attempted,ok,err,timeout,dropped,drop_inflight_cap,drop_conn_queue_full,http_2xx,http_429,http_5xx,queue_p99_us,send_p99_us,server_rtt_p99_us,e2e_p99_us,stage_router_p99_us,stage_l1_p99_us,stage_l2_p99_us
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,1024,1023,0,0,0,0,0,1023,0,0,2071,1770,9951,11599,46,43,36
1400,1024,1013,0,0,0,0,0,1013,0,0,2067,1719,1426,3861,31,30,30
1600,1024,1017,0,0,0,0,0,1017,0,0,2073,1766,1365,3671,28,28,24
1800,768,930,0,0,0,0,0,930,0,0,2051,1554,1259,3487,37,36,24
2000,1024,960,0,0,0,0,0,960,0,0,2065,1560,1239,3507,28,28,31
2200,1024,969,0,0,0,0,0,969,0,0,2051,1674,1637,3513,27,26,22
2400,1024,1012,0,0,0,0,0,1012,0,0,2055,1537,1476,3607,31,31,19
2600,1024,1006,0,0,0,0,0,1006,0,0,2063,1313,1220,3317,29,28,18
2800,768,999,0,0,0,0,0,999,0,0,2071,1204,1031,3121,18,18,29
3000,1024,961,0,0,0,0,0,961,0,0,2059,1073,1035,3029,26,26,18
3200,1024,1009,0,0,0,0,0,1009,0,0,2069,1151,1025,3119,30,30,26
3400,1024,946,0,0,0,0,0,946,0,0,2075,1104,1084,3151,28,26,35
3600,1024,1060,0,0,0,0,0,1060,0,0,2065,1076,1044,3025,23,22,14
3800,1024,933,0,0,0,0,0,933,0,0,2063,1022,870,3077,26,26,14
4000,1024,1075,0,0,0,0,0,1075,0,0,2079,1095,1205,3797,25,23,21
4003,81,16,0,0,0,0,0,16,0,0,1899,1304,815,3009,14,14,44
